True,True,,,
0.946523,0.977300,0.969145,-1,
0.959630,0.954952,0.978552,-1,
0.954648,0.976091,0.990324,-1,
0.868328,0.957117,0.932376,-1,
0.887062,0.913001,0.949686,-1,
0.945433,0.967816,0.979372,-1,
0.962584,0.984245,0.986437,-1,
0.886815,0.973074,0.902202,-1,
0.978520,0.975787,0.988484,-1,
0.920600,0.922406,0.905798,-1,
0.920733,0.901258,0.968657,-1,
0.950845,0.992157,0.992906,-1,
0.960214,0.923164,0.945125,-1,
0.970203,0.988026,0.985106,-1,
0.955503,0.949723,0.984549,-1,
0.977951,0.957412,0.980398,-1,
0.964595,0.988610,0.992877,-1,
0.843303,0.933338,0.974074,-1,
0.953854,0.964031,0.996631,-1,
0.973628,0.933148,0.973118,-1,
0.971669,0.963020,0.986458,-1,
0.875042,0.925959,0.976864,-1,
0.964402,0.976125,0.981803,-1,
0.974530,0.946881,0.954431,-1,
0.973378,0.967414,0.984805,-1,
0.876660,0.915560,0.982767,-1,
0.938352,0.933564,0.961964,-1,
0.937684,0.854755,0.970808,-1,
0.894840,0.966264,0.958909,-1,
0.939263,0.941921,0.981442,-1,
0.988490,0.949166,0.916497,-1,
0.957491,0.963915,0.959748,-1,
0.945505,0.694389,0.899597,-1,
0.897355,0.683144,0.896987,-1,
0.973668,0.965662,0.901807,-1,
0.884979,0.965245,0.874541,-1,
0.967764,0.941362,0.994864,-1,
0.899213,0.862154,0.985678,-1,
0.958391,0.839309,0.902299,-1,
0.748702,0.874642,0.958500,-1,
0.954786,0.938100,0.966975,-1,
0.869268,0.829776,0.944877,-1,
0.868233,0.827761,0.895771,-1,
0.958081,0.966914,0.995587,-1,
0.941436,0.886387,0.912057,-1,
0.950408,0.965916,0.975871,-1,
0.945019,0.991451,0.987327,-1,
0.944205,0.948717,0.925953,-1,
0.905182,0.963959,0.967026,-1,
0.985283,0.975692,0.984683,-1,
0.970504,0.985260,0.981800,-1,
0.884196,0.972013,0.984866,-1,
0.899896,0.984329,0.987206,-1,
0.976605,0.849686,0.893017,-1,
0.970073,0.954389,0.966602,-1,
0.925755,0.952368,0.958073,-1,
0.935589,0.963073,0.973419,-1,
0.968366,0.887252,0.927410,-1,
0.917132,0.942826,0.938754,-1,
0.978832,0.954903,0.953640,-1,
0.960991,0.970691,0.986500,-1,
0.937636,0.909009,0.956208,-1,
0.963363,0.968549,0.972444,-1,
0.946455,0.969753,0.988550,-1,
0.946694,0.899069,0.947103,-1,
0.950730,0.828051,0.913090,-1,
0.959708,0.910619,0.975820,-1,
0.914830,0.987201,0.982186,-1,
0.960536,0.958425,0.938857,-1,
