True,True,,,
0.958429,0.990620,0.989185,-1,
0.986443,0.993943,0.995499,-1,
0.946483,0.977070,0.980044,-1,
0.922415,0.991018,0.998504,-1,
0.969860,0.993609,0.998257,-1,
0.951180,0.989363,0.998284,-1,
0.913279,0.993692,0.998702,-1,
0.965667,0.970135,0.983489,-1,
0.919294,0.993701,0.992041,-1,
0.976257,0.971680,0.967140,-1,
0.895004,0.987361,0.994429,-1,
0.943725,0.954160,0.992159,-1,
0.970597,0.993778,0.998707,-1,
0.954479,0.981195,0.996881,-1,
0.977526,0.986184,0.995469,-1,
0.978962,0.992943,0.997686,-1,
0.975218,0.994599,0.993078,-1,
0.887671,0.993559,0.998160,-1,
0.943462,0.990097,0.990654,-1,
0.964531,0.976144,0.997052,-1,
0.939837,0.952042,0.939332,-1,
0.954725,0.994758,0.991695,-1,
0.966083,0.990236,0.996532,-1,
0.960618,0.979557,0.995292,-1,
0.975906,0.974531,0.955669,-1,
0.976898,0.979775,0.993303,-1,
0.970546,0.986197,0.992406,-1,
0.972532,0.984044,0.993316,-1,
0.939235,0.968408,0.988888,-1,
0.939205,0.991971,0.992648,-1,
0.982445,0.972120,0.989279,-1,
0.936011,0.993654,0.997517,-1,
0.984384,0.977752,0.991352,-1,
0.951739,0.975914,0.984373,-1,
0.985525,0.993457,0.996160,-1,
0.961556,0.992430,0.998089,-1,
0.943160,0.949033,0.984311,-1,
0.933949,0.960815,0.994176,-1,
0.971770,0.984664,0.993257,-1,
0.963560,0.981169,0.995216,-1,
0.975606,0.989320,0.991350,-1,
0.953002,0.989171,0.997193,-1,
0.981830,0.983333,0.986481,-1,
0.948646,0.935064,0.972231,-1,
0.964092,0.988707,0.995540,-1,
0.909422,0.996126,0.998198,-1,
0.955626,0.976810,0.994507,-1,
0.975308,0.983743,0.990729,-1,
0.978565,0.990623,0.995775,-1,
0.958330,0.951407,0.973291,-1,
0.960885,0.992897,0.987457,-1,
0.979892,0.982591,0.992346,-1,
0.973676,0.952432,0.983429,-1,
0.976269,0.987919,0.997811,-1,
0.956763,0.991068,0.997256,-1,
0.908390,0.986758,0.994089,-1,
0.928598,0.966061,0.967644,-1,
0.959960,0.989377,0.997906,-1,
0.980467,0.998680,0.998257,-1,
0.930638,0.969771,0.984771,-1,
0.933547,0.943982,0.956636,-1,
0.957307,0.969844,0.986053,-1,
0.794511,0.967078,0.968333,-1,
0.970518,0.982613,0.988710,-1,
0.981402,0.992702,0.999027,-1,
0.978765,0.988662,0.996061,-1,
0.706834,0.985571,0.994131,-1,
0.987319,0.993147,0.995988,-1,
0.973940,0.986469,0.991911,-1,
0.969231,0.992670,0.996091,-1,
0.996310,0.986586,0.977352,-1,
0.968104,0.997867,0.996971,-1,
0.957904,0.980725,0.993013,-1,
